"ISO","year","regime_type","election","obs_bin","obs_bin_max","obs_count","obs_count_max","demi","demi_max","source","obs_vdem","obs_qed"
"AGO",1995,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1996,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1997,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1998,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1999,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2000,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2001,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2002,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2003,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2004,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",2005,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2006,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2007,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2008,"Closed autocracy",1,1,1,2,3,"Electoral Network of Cunene, National Platform of Civil Society","Electoral Network of Cunene, Instituto Angolano de Sistemas Eleitorais e Democracia, National Platform of Civil Society","https://allafrica.com/stories/200606290778.html, https://www.ndi.org/our-stories/civic-engagement-contributes-peaceful-election-process-angola",1,NA
"AGO",2009,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2010,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2011,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2012,"Electoral autocracy",1,0,1,0,2,NA,"Electoral Network of Cunene, Instituto Angolano de Sistemas Eleitorais e Democracia",NA,1,NA
"AGO",2013,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2014,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2015,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2016,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2017,"Electoral autocracy",1,1,1,1,2,"Instituto Angolano de Sistemas Eleitorais e Democracia","Electoral Network of Cunene, Instituto Angolano de Sistemas Eleitorais e Democracia","https://www.facebook.com/observatorioeleitotal/posts/pfbid0XQppYFx9WG1mTseSmQ1cdyZdtjhTZm64Fx1UcnBtkcUBnptAbWhjQCfdTK7BTUoTl",1,NA
"AGO",2018,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2019,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2020,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",2021,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",1990,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",1991,"Electoral autocracy",1,0,0,0,0,NA,NA,NA,1,0
"ALB",1992,"Electoral autocracy",1,0,0,0,0,NA,NA,"https://democracyinternational.com/media/2017%20Final%20Monitoring%20Report%20of%20the%20Albanian%20Assembly%20Elections%20-%20Albanian.pdf",1,0
"ALB",1993,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",1994,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",1995,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",1996,"Electoral autocracy",1,1,1,1,1,"Albanian Helsinki Committee","Albanian Helsinki Committee","https://1997-2001.state.gov/global/human_rights/1996_hrp_report/albania.html, https://democracyinternational.com/media/2017%20Final%20Monitoring%20Report%20of%20the%20Albanian%20Assembly%20Elections%20-%20Albanian.pdf",1,1
"ALB",1997,"Electoral autocracy",1,1,1,1,3,"Albanian Helsinki Committee","Kombinat Center For Women and Children, KRIIK Albania Association, Albanian Helsinki Committee","https://democracyinternational.com/media/2017%20Final%20Monitoring%20Report%20of%20the%20Albanian%20Assembly%20Elections%20-%20Albanian.pdf, https://1997-2001.state.gov/global/human_rights/1997_hrp_report/albania.html",1,1
"ALB",1998,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",1999,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",2000,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",2001,"Electoral autocracy",1,1,1,1,3,"Albanian Helsinki Committee","Kombinat Center For Women and Children, KRIIK Albania Association, Albanian Helsinki Committee","https://democracyinternational.com/media/2017%20Final%20Monitoring%20Report%20of%20the%20Albanian%20Assembly%20Elections%20-%20Albanian.pdf, http://pdc.ceu.hu/archive/00006170/01/raport_ang_2001.pdf",1,0
"ALB",2002,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",2003,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",2004,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ALB",2005,"Electoral democracy",1,1,1,3,4,"Albanian Helsinki Committee, Society for Democratic Culture, KRIIK Albania Association","Albanian Helsinki Committee, Society for Democratic Culture, KRIIK Albania Association, Kombinat Center For Women and Children","https://ahc.org.al/wp-content/uploads/2017/04/raport-paraprakzgjedhjet-2005-ang.pdf, https://www.osfa.al/njoftime/inicohet-koalicioni-i-vezhguesve-vendore-me-2500-raportues-per-zgjedhjet, https://kriik.al/home/integriteti-i-zgjedhjeve/",1,NA
"ALB",2006,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2007,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2008,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2009,"Electoral democracy",1,1,1,3,4,"Albanian Helsinki Committee, KRIIK Albania Association, Society for Democratic Culture","Albanian Helsinki Committee, Kombinat Center For Women and Children, KRIIK Albania Association, Society for Democratic Culture","https://ahc.org.al/wp-content/uploads/2017/04/aport-paraprak-monitorimi-zgjedhjeve-ang.pdf, https://kriik.al/home/integriteti-i-zgjedhjeve/, http://www.enemo.eu/old/annualReports/Anual%20report_2009_SDC.pdf",1,NA
"ALB",2010,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2011,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2012,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2013,"Electoral democracy",1,1,1,6,7,"Society for Democratic Culture, Albanian Helsinki Committee, PolitOn Centre, Coalition for Free and Fair Elections and Sustainable Democracy, Women's Democracy Network, KRIIK Albania Association","Society for Democratic Culture, Albanian Helsinki Committee, PolitOn Centre, Coalition for Free and Fair Elections and Sustainable Democracy, Women's Democracy Network, KRIIK Albania Association, Kombinat Center For Women and Children","https://www.objektiv.al/koalicioni-i-vezhguesve-vendore-mblidhet-per-te-fundit-here/, https://ahc.org.al/wp-content/uploads/2016/12/Final_Report_on_the_Parliamentary_Elections_of_23_June_2013_Albanian_Helsinki_Committee.pdf, https://web.archive.org/web/20141218045946/http://politon.eu/, http://www.kzln.org.al/images/Documents/CFFE_Final%20Report_%20Eng_July18_Final.pdf, https://www.facebook.com/WDNAlbania.chapter/posts/pfbid09TCvPDXQTqEKM2wWWbxFWZE7GbEpPW94QyA9oB7Jh7Yo3smzq7E7j7CPiNco5Nsyl, https://kriik.al/home/integriteti-i-zgjedhjeve/",1,NA
"ALB",2014,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2015,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2016,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2017,"Electoral democracy",1,1,1,5,7,"Society for Democratic Culture, Coalition for Free and Fair Elections and Sustainable Democracy, Women's Democracy Network, Albanian Helsinki Committee, KRIIK Albania Association","Society for Democratic Culture, PolitOn Centre, Coalition for Free and Fair Elections and Sustainable Democracy, Women's Democracy Network, Albanian Helsinki Committee, Kombinat Center For Women and Children, KRIIK Albania Association","https://democracyinternational.com/media/2017%20Final%20Monitoring%20Report%20of%20the%20Albanian%20Assembly%20Elections%20-%20Albanian.pdf, https://www.facebook.com/KoalicioniPerZgjedhjeTeLiraETeNdershme/posts/913915702061126, https://www.facebook.com/WDNAlbania.chapter/posts/pfbid09TCvPDXQTqEKM2wWWbxFWZE7GbEpPW94QyA9oB7Jh7Yo3smzq7E7j7CPiNco5Nsyl, https://ahc.org.al/wp-content/uploads/2017/07/Raport-on-Parliamentary-Elections-25-June-2017.pdf, https://kriik.al/home/integriteti-i-zgjedhjeve/",1,NA
"ALB",2018,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2019,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2020,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ALB",2021,"Electoral democracy",1,1,1,4,7,"Albanian Helsinki Committee, KRIIK Albania Association, Society for Democratic Culture, Women's Democracy Network","Albanian Helsinki Committee, Coalition for Free and Fair Elections and Sustainable Democracy, KRIIK Albania Association, PolitOn Centre, Society for Democratic Culture, Kombinat Center For Women and Children, Women's Democracy Network",NA,1,NA
"ARE",1990,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1991,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1992,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1993,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1994,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1995,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1996,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1997,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1998,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",1999,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2000,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2001,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2002,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2003,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2004,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARE",2005,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2006,"Closed autocracy",1,0,0,0,0,NA,NA,NA,0,NA
"ARE",2007,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2008,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2009,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2010,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2011,"Closed autocracy",1,0,0,0,0,NA,NA,NA,0,NA
"ARE",2012,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2013,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2014,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2015,"Closed autocracy",1,0,0,0,0,NA,NA,NA,0,NA
"ARE",2016,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2017,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2018,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2019,"Closed autocracy",1,0,0,0,0,NA,NA,NA,0,NA
"ARE",2020,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARE",2021,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",1990,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",1991,"Electoral democracy",1,0,0,0,0,NA,NA,"https://poderciudadano.org/mision-y-vision/, https://www.linkedin.com/company/transparencia-electoral/about/",1,0
"ARG",1992,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",1993,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/, https://web.archive.org/web/20011202184007/http://www.poderciudadano.org.ar/",1,0
"ARG",1994,"Electoral democracy",1,0,1,0,1,NA,"Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/",1,0
"ARG",1995,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://web.archive.org/web/20011202184007/http://www.poderciudadano.org.ar/, https://www.linkedin.com/company/transparencia-electoral/about/",1,0
"ARG",1996,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",1997,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://web.archive.org/web/20011202184007/http://www.poderciudadano.org.ar/, https://www.linkedin.com/company/transparencia-electoral/about/",1,0
"ARG",1998,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",1999,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/, https://web.archive.org/web/20011202184007/http://www.poderciudadano.org.ar/",1,0
"ARG",2000,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",2001,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/, https://www.poderciudadano.org/libros/HerramientasParaLaParticipacionCiudadana_PoderCiudadano.pdf",1,0
"ARG",2002,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",2003,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/, https://web.archive.org/web/20050209154738/http://poderciudadano.org/p_logros.asp",1,0
"ARG",2004,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARG",2005,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://www.linkedin.com/company/transparencia-electoral/about/, https://web.archive.org/web/20060210222112/http://poderciudadano.org/?do=temas&id=54&PHPSESSID=962ccaadb268950ed40ab1ec8ddf5a2e",1,NA
"ARG",2006,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2007,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://poderciudadano.org/informe-sobre-denuncias-electorales/, https://www.linkedin.com/company/transparencia-electoral/about/",1,NA
"ARG",2008,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2009,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://poderciudadano.org/intensa-actividad-para-unas-elecciones-transparentes-e-informadas/, https://www.linkedin.com/company/transparencia-electoral/about/",1,NA
"ARG",2010,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2011,"Electoral democracy",1,1,1,1,1,"Poder Ciudadano","Poder Ciudadano","https://poderciudadano.org/recibiremos-denuncias-durante-las-elecciones-primarias/, https://www.linkedin.com/company/transparencia-electoral/about/",1,NA
"ARG",2012,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2013,"Electoral democracy",1,1,1,2,2,"Transparencia Electoral, Poder Ciudadano","Transparencia Electoral, Poder Ciudadano","https://web.archive.org/web/20131014205400/http://transparenciaelectoral.org/opinion-las-primarias-son-restrictivas/, https://poderciudadano.org/inf-final-observacion-electoral-2013/",1,NA
"ARG",2014,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2015,"Electoral democracy",1,1,1,2,2,"Poder Ciudadano, Transparencia Electoral","Poder Ciudadano, Transparencia Electoral","https://poderciudadano.org/poder-ciudadano-solicita-la-publicacion-de-las-actas-de-escrutinio-por-parte-de-la-justicia-electoral/, https://transparenciaelectoral.org/elecciones2015-transparencia-electoral-recibe-tus-denuncias-electorales/",1,NA
"ARG",2016,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2017,"Electoral democracy",1,1,1,2,2,"Poder Ciudadano, Transparencia Electoral","Poder Ciudadano, Transparencia Electoral","https://poderciudadano.org/que-no-te-pongan-la-camiseta-una-iniciativa-para-que-los-empleados-publicos-denuncien-cuando-los-obligan-a-hacer-campana/, https://transparenciaelectoral.org/informe-exclusivo-de-transparencia-electoral-elecciones-legislativas-argentina-2017/",1,NA
"ARG",2018,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2019,"Electoral democracy",1,1,1,2,2,"Poder Ciudadano, Transparencia Electoral","Poder Ciudadano, Transparencia Electoral","https://poderciudadano.org/observacion-electoral-durante-las-paso-2019-en-la-provincia-de-santa-fe/, https://transparenciaelectoral.org/transparencia-electoral-celebro-la-conferencia-elecciones-generales-argentina-2019/",1,NA
"ARG",2020,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARG",2021,"Electoral democracy",1,1,1,2,2,"Poder Ciudadano, Transparencia Electoral","Poder Ciudadano, Transparencia Electoral",NA,1,NA
"ARM",1990,"Electoral democracy",1,0,0,0,0,NA,NA,NA,1,0
"ARM",1991,"Electoral democracy",1,0,0,0,0,NA,NA,NA,1,0
"ARM",1992,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",1993,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",1994,"Electoral democracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",1995,"Electoral autocracy",1,0,0,0,0,NA,NA,NA,1,1
"ARM",1996,"Electoral autocracy",1,0,0,0,0,NA,NA,NA,1,0
"ARM",1997,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",1998,"Electoral autocracy",1,0,0,0,0,NA,NA,"https://web.archive.org/web/20070214025828/http://www.iyc.am/elections.htm",1,1
"ARM",1999,"Electoral autocracy",1,1,1,1,1,"It's Your Choice","It's Your Choice","https://web.archive.org/web/20070214025828/http://www.iyc.am/elections.htm",1,1
"ARM",2000,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",2001,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",2002,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",2003,"Electoral autocracy",1,1,1,6,6,"It's Your Choice, Transparency International Anticorruption Center, Helsinki Citizens’ Assembly (Vanadzor)","It's Your Choice, Transparency International Anticorruption Center, Helsinki Citizens’ Assembly (Vanadzor)","https://web.archive.org/web/20070214025828/http://www.iyc.am/elections.htm, https://transparency.am/hy/publication/pdf/6/1018, https://archive.hcav.am/monitorings/2/",1,0
"ARM",2004,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,0
"ARM",2005,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARM",2006,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARM",2007,"Electoral autocracy",1,1,1,3,3,"Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","https://transparency.am/hy/publication/pdf/32/1061, https://www.refworld.org/docid/46f2585bc.html, https://archive.hcav.am/publications/2007%d5%a9-%d5%b4%d5%a1%d5%b5%d5%ab%d5%bd%d5%ab-12-%d5%ab-%d5%a1%d5%a6%d5%a3%d5%a1%d5%b5%d5%ab%d5%b6-%d5%aa%d5%b8%d5%b2%d5%b8%d5%be%d5%ab-%d5%a8%d5%b6%d5%bf%d6%80%d5%b8%d6%82%d5%a9%d5%b5%d5%b8%d6%82/",1,NA
"ARM",2008,"Electoral autocracy",1,1,1,3,3,"Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","https://transparency.am/hy/media/statements/article/3246, https://armenpress.am/eng/news/521971.html, https://archive.hcav.am/publications/2008%d5%a9-%d5%b6%d5%a1%d5%ad%d5%a1%d5%a3%d5%a1%d5%b0%d5%a1%d5%af%d5%a1%d5%b6-%d5%a8%d5%b6%d5%bf%d6%80%d5%b8%d6%82%d5%a9%d5%b5%d5%b8%d6%82%d5%b6%d5%b6%d5%a5%d6%80%d5%ab-%d5%a4%d5%ab%d5%bf%d5%b8%d6%80/",1,NA
"ARM",2009,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARM",2010,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARM",2011,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"ARM",2012,"Electoral autocracy",1,1,1,3,3,"Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","Transparency International Anticorruption Center, It's Your Choice, Helsinki Citizens’ Assembly (Vanadzor)","https://www.facebook.com/TIArmenia/photos/a.369743203101096/369743226434427/, https://mediamax.am/en/news/elections2012/4814/, https://archive.hcav.am/publications/2012-%d5%a9-%d5%b4%d5%a1%d5%b5%d5%ab%d5%bd%d5%ab-6-%d5%ab-%d5%ad%d5%b8%d6%80%d5%b0%d6%80%d5%a4%d5%a1%d6%80%d5%a1%d5%b6%d5%a1%d5%af%d5%a1%d5%b6-%d5%a8%d5%b6%d5%bf%d6%80%d5%b8%d6%82%d5%a9%d5%b5%d5%b8-2/",1,NA
